,PRODUCTO,PRECIO_MINORISTA,CATEGORIA,UNIDAD_MEDIDA_MIN
130,Melon coquito,3.45,Frutas,KILOGRAMO
131,Limon sutil bolsa,3.95,Frutas,KILOGRAMO
132,Platano seda congo,4.2,Frutas,KILOGRAMO
133,Papa canchan,2.65,Tuberculos,KILOGRAMO
134,Aji rocoto,6.25,Hortalizas,KILOGRAMO
135,Garbanzo,9.75,Menestras,KILOGRAMO
136,Tomate,4.45,Hortalizas,KILOGRAMO
137,Uva alfonso lavalett,6.65,Frutas,KILOGRAMO
138,Papa amarilla,4.45,Tuberculos,KILOGRAMO
139,Yuca blanca,3.85,Tuberculos,KILOGRAMO
140,Leche fresca,4.85,Agro-industriales,LITRO
141,Olluco largo,4.1,Tuberculos,KILOGRAMO
142,Zanahoria,3.65,Hortalizas,KILOGRAMO
143,Azucar rubia nacional (granel),4.1,Agro-industriales,KILOGRAMO
144,Carne de pollo (eviscerado),10.15,Carnes y huevos,KILOGRAMO
145,Carne de porcino (corte unico),20.25,Carnes y huevos,KILOGRAMO
146,Haba verde serrana,3.85,Legumbres,KILOGRAMO
147,Palta fuerte,6.6,Frutas,KILOGRAMO
148,Arveja verde blanca serrana,7.55,Legumbres,KILOGRAMO
149,Choclo (tipo cusco),8.7,Cereales,UNIDAD
150,Arroz extra,4.55,Cereales,KILOGRAMO
151,Manzana delicia,3.8,Frutas,KILOGRAMO
152,Cebolla cabeza roja,3.4,Hortalizas,KILOGRAMO
153,Aceite clasico botella 900 ml,10.7,Agro-industriales,LITRO
154,Manzana israel,4.35,Frutas,KILOGRAMO
155,Lenteja,7.9,Menestras,KILOGRAMO
156,Frijol canario,6.25,Menestras,KILOGRAMO
157,Arroz superior,4.0,Cereales,KILOGRAMO
158,Aji escabeche,4.15,Hortalizas,MALLA
159,Frijol castilla,5.55,Menestras,KILOGRAMO
160,Sandia,2.55,Frutas,KILOGRAMO
161,Papaya,3.1,Frutas,KILOGRAMO
162,Uva red globe,7.35,Frutas,KILOGRAMO
163,Camote morado,3.05,Tuberculos,KILOGRAMO
164,Fideos nicolini tallarin,6.7,Agro-industriales,KILOGRAMO
165,Naranja valencia,3.35,Frutas,KILOGRAMO
166,Leche reconstituida (azul) 395 gr,4.2,Agro-industriales,LATA
167,Uva italia,7.75,Frutas,KILOGRAMO
168,Azucar blanca nacional (granel),4.55,Agro-industriales,KILOGRAMO
169,Melocoton durazno huayco,10.25,Frutas,KILOGRAMO
170,Pina criolla,2.75,Frutas,KILOGRAMO
171,Vainita americana,5.55,Legumbres,KILOGRAMO
172,Melon coquito,3.45,Frutas,KILOGRAMO
173,Limon sutil bolsa,3.45,Frutas,KILOGRAMO
174,Platano seda congo,4.2,Frutas,KILOGRAMO
175,Papa canchan,2.65,Tuberculos,KILOGRAMO
176,Aji rocoto,6.25,Hortalizas,KILOGRAMO
177,Garbanzo,9.75,Menestras,KILOGRAMO
178,Tomate,4.45,Hortalizas,KILOGRAMO
179,Uva alfonso lavalett,6.65,Frutas,KILOGRAMO
180,Papa amarilla,4.25,Tuberculos,KILOGRAMO
181,Yuca blanca,3.85,Tuberculos,KILOGRAMO
182,Leche fresca,4.7,Agro-industriales,LITRO
183,Olluco largo,4.1,Tuberculos,KILOGRAMO
184,Zanahoria,3.65,Hortalizas,KILOGRAMO
185,Azucar rubia nacional (granel),4.1,Agro-industriales,KILOGRAMO
186,Carne de pollo (eviscerado),10.15,Carnes y huevos,KILOGRAMO
187,Zapallo macre,3.55,Hortalizas,KILOGRAMO
188,Carne de porcino (corte unico),18.55,Carnes y huevos,KILOGRAMO
189,Haba verde serrana,3.85,Legumbres,KILOGRAMO
190,Ajo criollo o napuri,17.55,Hortalizas,KILOGRAMO
191,Huevos rosados,10.0,Carnes y huevos,KILOGRAMO
192,Chirimoya cumbe,7.65,Frutas,KILOGRAMO
193,Carne fresca de vacuno,20.8,Carnes y huevos,KILOGRAMO
194,Platano bellaco,4.05,Frutas,LITRO
195,Pallar,8.2,Menestras,KILOGRAMO
196,Manzana israel,4.35,Frutas,KILOGRAMO
197,Lenteja,7.9,Menestras,KILOGRAMO
198,Frijol canario,6.25,Menestras,KILOGRAMO
199,Arroz superior,4.0,Cereales,KILOGRAMO
200,Aji escabeche,4.05,Hortalizas,MALLA
201,Frijol castilla,5.55,Menestras,KILOGRAMO
202,Sandia,2.55,Frutas,KILOGRAMO
203,Papaya,3.1,Frutas,KILOGRAMO
204,Uva red globe,7.35,Frutas,KILOGRAMO
205,Camote morado,3.05,Tuberculos,KILOGRAMO
206,Fideos nicolini tallarin,6.7,Agro-industriales,KILOGRAMO
207,Naranja valencia,3.4,Frutas,KILOGRAMO
208,Leche reconstituida (azul) 395 gr,4.2,Agro-industriales,LATA
209,Uva italia,7.75,Frutas,KILOGRAMO
210,Azucar blanca nacional (granel),4.55,Agro-industriales,KILOGRAMO
211,Melocoton durazno huayco,10.25,Frutas,KILOGRAMO
212,Pina criolla,2.75,Frutas,KILOGRAMO
213,Vainita americana,5.55,Legumbres,KILOGRAMO
214,Melon coquito,3.45,Frutas,KILOGRAMO
215,Limon sutil bolsa,3.45,Frutas,KILOGRAMO
216,Platano seda congo,4.2,Frutas,KILOGRAMO
217,Papa canchan,2.65,Tuberculos,KILOGRAMO
218,Aji rocoto,6.25,Hortalizas,KILOGRAMO
219,Garbanzo,9.75,Menestras,KILOGRAMO
220,Tomate,4.45,Hortalizas,KILOGRAMO
221,Uva alfonso lavalett,6.65,Frutas,KILOGRAMO
222,Papa amarilla,4.4,Tuberculos,KILOGRAMO
223,Yuca blanca,3.85,Tuberculos,KILOGRAMO
224,Leche fresca,4.85,Agro-industriales,LITRO
225,Olluco largo,4.1,Tuberculos,KILOGRAMO
226,Zanahoria,3.65,Hortalizas,KILOGRAMO
227,Azucar rubia nacional (granel),4.35,Agro-industriales,KILOGRAMO
228,Carne de pollo (eviscerado),10.2,Carnes y huevos,KILOGRAMO
229,Zapallo macre,3.55,Hortalizas,KILOGRAMO
230,Carne de porcino (corte unico),18.55,Carnes y huevos,KILOGRAMO
231,Haba verde serrana,3.85,Legumbres,KILOGRAMO
232,Huevos rosados,10.0,Carnes y huevos,KILOGRAMO
233,Chirimoya cumbe,7.65,Frutas,KILOGRAMO
234,Carne fresca de vacuno,20.8,Carnes y huevos,KILOGRAMO
235,Platano bellaco,4.15,Frutas,LITRO
236,Pallar,8.2,Menestras,KILOGRAMO
237,Ajo criollo o napuri,17.55,Hortalizas,KILOGRAMO
238,Arveja verde blanca serrana,7.55,Legumbres,KILOGRAMO
239,Choclo (tipo cusco),8.7,Cereales,UNIDAD
240,Arroz extra,4.5,Cereales,KILOGRAMO
241,Manzana delicia,3.8,Frutas,KILOGRAMO
242,Cebolla cabeza roja,3.4,Hortalizas,KILOGRAMO
243,Aceite clasico botella 900 ml,10.75,Agro-industriales,LITRO
244,Palta fuerte,6.6,Frutas,KILOGRAMO
245,Arroz superior,4.0,Cereales,KILOGRAMO
246,Aji escabeche,4.05,Hortalizas,MALLA
247,Frijol castilla,5.55,Menestras,KILOGRAMO
248,Sandia,2.55,Frutas,KILOGRAMO
249,Papaya,3.1,Frutas,KILOGRAMO
250,Uva red globe,7.35,Frutas,KILOGRAMO
251,Camote morado,3.05,Tuberculos,KILOGRAMO
252,Fideos nicolini tallarin,6.7,Agro-industriales,KILOGRAMO
253,Naranja valencia,3.4,Frutas,KILOGRAMO
254,Leche reconstituida (azul) 395 gr,4.2,Agro-industriales,LATA
255,Uva italia,7.75,Frutas,KILOGRAMO
256,Azucar blanca nacional (granel),4.55,Agro-industriales,KILOGRAMO
257,Melocoton durazno huayco,10.25,Frutas,KILOGRAMO
258,Pina criolla,2.75,Frutas,KILOGRAMO
259,Vainita americana,5.55,Legumbres,KILOGRAMO
260,Melon coquito,3.45,Frutas,KILOGRAMO
261,Limon sutil bolsa,3.45,Frutas,KILOGRAMO
262,Platano seda congo,4.2,Frutas,KILOGRAMO
263,Papa canchan,2.6,Tuberculos,KILOGRAMO
264,Aji rocoto,6.15,Hortalizas,KILOGRAMO
265,Garbanzo,9.75,Menestras,KILOGRAMO
266,Tomate,4.45,Hortalizas,KILOGRAMO
267,Uva alfonso lavalett,6.65,Frutas,KILOGRAMO
268,Papa amarilla,4.4,Tuberculos,KILOGRAMO
269,Yuca blanca,3.85,Tuberculos,KILOGRAMO
270,Leche fresca,4.85,Agro-industriales,LITRO
271,Olluco largo,4.05,Tuberculos,KILOGRAMO
272,Zanahoria,3.65,Hortalizas,KILOGRAMO
273,Azucar rubia nacional (granel),4.35,Agro-industriales,KILOGRAMO
274,Carne de pollo (eviscerado),10.1,Carnes y huevos,KILOGRAMO
275,Zapallo macre,3.55,Hortalizas,KILOGRAMO
276,Carne de porcino (corte unico),18.55,Carnes y huevos,KILOGRAMO
277,Haba verde serrana,3.75,Legumbres,KILOGRAMO
278,Huevos rosados,10.0,Carnes y huevos,KILOGRAMO
279,Chirimoya cumbe,7.65,Frutas,KILOGRAMO
280,Carne fresca de vacuno,20.8,Carnes y huevos,KILOGRAMO
281,Platano bellaco,4.15,Frutas,LITRO
282,Pallar,8.2,Menestras,KILOGRAMO
283,Ajo criollo o napuri,17.3,Hortalizas,KILOGRAMO
284,Arveja verde blanca serrana,7.55,Legumbres,KILOGRAMO
285,Choclo (tipo cusco),8.65,Cereales,UNIDAD
286,Arroz extra,4.5,Cereales,KILOGRAMO
287,Manzana delicia,3.55,Frutas,KILOGRAMO
288,Cebolla cabeza roja,3.4,Hortalizas,KILOGRAMO
289,Aceite clasico botella 900 ml,10.75,Agro-industriales,LITRO
290,Palta fuerte,6.6,Frutas,KILOGRAMO
291,Manzana israel,4.35,Frutas,KILOGRAMO
292,Lenteja,7.8,Menestras,KILOGRAMO
293,Frijol canario,6.1,Menestras,KILOGRAMO
294,Naranja valencia,3.4,Frutas,KILOGRAMO
295,Leche reconstituida (azul) 395 gr,4.2,Agro-industriales,LATA
296,Uva italia,7.65,Frutas,KILOGRAMO
297,Azucar blanca nacional (granel),4.55,Agro-industriales,KILOGRAMO
298,Melocoton durazno huayco,10.25,Frutas,KILOGRAMO
299,Pina criolla,2.75,Frutas,KILOGRAMO
300,Vainita americana,5.55,Legumbres,KILOGRAMO
301,Melon coquito,3.4,Frutas,KILOGRAMO
302,Limon sutil bolsa,3.35,Frutas,KILOGRAMO
303,Platano seda congo,4.2,Frutas,KILOGRAMO
304,Papa canchan,2.6,Tuberculos,KILOGRAMO
305,Aji rocoto,6.15,Hortalizas,KILOGRAMO
306,Garbanzo,9.75,Menestras,KILOGRAMO
307,Tomate,4.45,Hortalizas,KILOGRAMO
308,Uva alfonso lavalett,6.65,Frutas,KILOGRAMO
309,Papa amarilla,4.4,Tuberculos,KILOGRAMO
310,Yuca blanca,3.85,Tuberculos,KILOGRAMO
311,Leche fresca,4.85,Agro-industriales,LITRO
312,Olluco largo,4.05,Tuberculos,KILOGRAMO
313,Zanahoria,3.65,Hortalizas,KILOGRAMO
314,Azucar rubia nacional (granel),4.35,Agro-industriales,KILOGRAMO
315,Carne de pollo (eviscerado),10.1,Carnes y huevos,KILOGRAMO
316,Zapallo macre,3.55,Hortalizas,KILOGRAMO
317,Carne de porcino (corte unico),18.55,Carnes y huevos,KILOGRAMO
318,Haba verde serrana,3.65,Legumbres,KILOGRAMO
319,Huevos rosados,10.0,Carnes y huevos,KILOGRAMO
320,Chirimoya cumbe,7.65,Frutas,KILOGRAMO
321,Carne fresca de vacuno,20.8,Carnes y huevos,KILOGRAMO
322,Platano bellaco,4.15,Frutas,LITRO
323,Pallar,8.2,Menestras,KILOGRAMO
324,Ajo criollo o napuri,17.25,Hortalizas,KILOGRAMO
325,Arveja verde blanca serrana,7.55,Legumbres,KILOGRAMO
326,Choclo (tipo cusco),8.65,Cereales,UNIDAD
327,Arroz extra,4.5,Cereales,KILOGRAMO
328,Manzana delicia,3.55,Frutas,KILOGRAMO
329,Cebolla cabeza roja,3.4,Hortalizas,KILOGRAMO
330,Aceite clasico botella 900 ml,10.75,Agro-industriales,LITRO
331,Palta fuerte,6.65,Frutas,KILOGRAMO
332,Manzana israel,4.35,Frutas,KILOGRAMO
333,Uva red globe,7.35,Frutas,KILOGRAMO
334,Lenteja,7.8,Menestras,KILOGRAMO
335,Frijol canario,6.1,Menestras,KILOGRAMO
336,Arroz superior,4.0,Cereales,KILOGRAMO
337,Aji escabeche,4.05,Hortalizas,MALLA
338,Frijol castilla,5.45,Menestras,KILOGRAMO
339,Sandia,2.55,Frutas,KILOGRAMO
340,Papaya,3.1,Frutas,KILOGRAMO
341,Camote morado,3.05,Tuberculos,KILOGRAMO
342,Fideos nicolini tallarin,6.7,Agro-industriales,KILOGRAMO
343,Palta fuerte,6.65,Frutas,KILOGRAMO
344,Tomate,4.45,Hortalizas,KILOGRAMO
345,Papa canchan,2.6,Tuberculos,KILOGRAMO
346,Garbanzo,9.75,Menestras,KILOGRAMO
347,Azucar blanca nacional (granel),4.55,Agro-industriales,KILOGRAMO
348,Uva red globe,7.35,Frutas,KILOGRAMO
349,Carne fresca de vacuno,20.8,Carnes y huevos,KILOGRAMO
350,Zapallo macre,3.55,Hortalizas,KILOGRAMO
351,Aji escabeche,4.05,Hortalizas,MALLA
352,Lenteja,8.0,Menestras,KILOGRAMO
353,Naranja valencia,3.4,Frutas,KILOGRAMO
354,Arveja verde blanca serrana,7.45,Legumbres,KILOGRAMO
355,Manzana delicia,3.55,Frutas,KILOGRAMO
356,Leche fresca,4.85,Agro-industriales,LITRO
357,Uva italia,7.65,Frutas,KILOGRAMO
358,Fideos nicolini tallarin,6.7,Agro-industriales,KILOGRAMO
359,Carne de porcino (corte unico),18.55,Carnes y huevos,KILOGRAMO
360,Uva alfonso lavalett,6.65,Frutas,KILOGRAMO
361,Limon sutil bolsa,3.35,Frutas,KILOGRAMO
362,Olluco largo,3.95,Tuberculos,KILOGRAMO
363,Camote morado,3.05,Tuberculos,KILOGRAMO
364,Haba verde serrana,3.65,Legumbres,KILOGRAMO
365,Frijol canario,6.1,Menestras,KILOGRAMO
366,Papaya,3.1,Frutas,KILOGRAMO
367,Vainita americana,5.55,Legumbres,KILOGRAMO
368,Manzana israel,4.35,Frutas,KILOGRAMO
369,Platano bellaco,4.15,Frutas,LITRO
370,Azucar rubia nacional (granel),4.35,Agro-industriales,KILOGRAMO
371,Arroz extra,4.5,Cereales,KILOGRAMO
372,Leche reconstituida (azul) 395 gr,4.2,Agro-industriales,LATA
373,Aji rocoto,6.6,Hortalizas,KILOGRAMO
374,Cebolla cabeza roja,3.4,Hortalizas,KILOGRAMO
375,Chirimoya cumbe,7.65,Frutas,KILOGRAMO
376,Pina criolla,2.75,Frutas,KILOGRAMO
377,Carne de pollo (eviscerado),10.1,Carnes y huevos,KILOGRAMO
378,Platano seda congo,4.2,Frutas,KILOGRAMO
379,Yuca blanca,3.85,Tuberculos,KILOGRAMO
380,Pallar,8.2,Menestras,KILOGRAMO
381,Papa amarilla,4.4,Tuberculos,KILOGRAMO
382,Melocoton durazno huayco,10.2,Frutas,KILOGRAMO
383,Sandia,2.55,Frutas,KILOGRAMO
384,Aceite clasico botella 900 ml,10.75,Agro-industriales,LITRO
385,Huevos rosados,10.0,Carnes y huevos,KILOGRAMO
386,Ajo criollo o napuri,17.25,Hortalizas,KILOGRAMO
387,Frijol castilla,5.55,Menestras,KILOGRAMO
388,Arroz superior,4.0,Cereales,KILOGRAMO
389,Zanahoria,3.65,Hortalizas,KILOGRAMO
390,Choclo (tipo cusco),8.7,Cereales,UNIDAD
391,Melon coquito,3.4,Frutas,KILOGRAMO
392,Garbanzo,9.75,Menestras,KILOGRAMO
393,Azucar blanca nacional (granel),4.45,Agro-industriales,KILOGRAMO
394,Uva red globe,7.55,Frutas,KILOGRAMO
395,Carne fresca de vacuno,20.75,Carnes y huevos,KILOGRAMO
396,Zapallo macre,3.5,Hortalizas,KILOGRAMO
397,Aji escabeche,4.05,Hortalizas,MALLA
398,Lenteja,8.0,Menestras,KILOGRAMO
399,Naranja valencia,3.15,Frutas,KILOGRAMO
400,Arveja verde blanca serrana,7.45,Legumbres,KILOGRAMO
401,Manzana delicia,3.55,Frutas,KILOGRAMO
402,Leche fresca,4.75,Agro-industriales,LITRO
403,Uva italia,7.55,Frutas,KILOGRAMO
404,Fideos nicolini tallarin,6.7,Agro-industriales,KILOGRAMO
405,Carne de porcino (corte unico),18.5,Carnes y huevos,KILOGRAMO
406,Uva alfonso lavalett,5.35,Frutas,KILOGRAMO
407,Limon sutil bolsa,2.85,Frutas,KILOGRAMO
408,Olluco largo,3.95,Tuberculos,KILOGRAMO
409,Camote morado,3.15,Tuberculos,KILOGRAMO
410,Haba verde serrana,3.65,Legumbres,KILOGRAMO
411,Frijol canario,6.1,Menestras,KILOGRAMO
412,Papaya,3.1,Frutas,KILOGRAMO
413,Manzana israel,4.35,Frutas,KILOGRAMO
414,Platano bellaco,3.9,Frutas,LITRO
415,Azucar rubia nacional (granel),4.2,Agro-industriales,KILOGRAMO
416,Arroz extra,4.5,Cereales,KILOGRAMO
417,Leche reconstituida (azul) 395 gr,4.2,Agro-industriales,LATA
418,Aji rocoto,6.65,Hortalizas,KILOGRAMO
419,Vainita americana,5.75,Legumbres,KILOGRAMO
420,Cebolla cabeza roja,3.35,Hortalizas,KILOGRAMO
421,Chirimoya cumbe,7.6,Frutas,KILOGRAMO
422,Pina criolla,2.75,Frutas,KILOGRAMO
423,Carne de pollo (eviscerado),10.1,Carnes y huevos,KILOGRAMO
424,Platano seda congo,4.2,Frutas,KILOGRAMO
425,Yuca blanca,3.75,Tuberculos,KILOGRAMO
426,Pallar,8.15,Menestras,KILOGRAMO
427,Papa amarilla,4.35,Tuberculos,KILOGRAMO
428,Melocoton durazno huayco,10.2,Frutas,KILOGRAMO
429,Sandia,2.55,Frutas,KILOGRAMO
430,Aceite clasico botella 900 ml,10.7,Agro-industriales,LITRO
431,Huevos rosados,10.0,Carnes y huevos,KILOGRAMO
432,Ajo criollo o napuri,17.25,Hortalizas,KILOGRAMO
433,Frijol castilla,5.45,Menestras,KILOGRAMO
434,Arroz superior,3.95,Cereales,KILOGRAMO
435,Zanahoria,3.65,Hortalizas,KILOGRAMO
436,Choclo (tipo cusco),8.7,Cereales,UNIDAD
437,Melon coquito,3.4,Frutas,KILOGRAMO
438,Palta fuerte,5.6,Frutas,KILOGRAMO
439,Tomate,4.45,Hortalizas,KILOGRAMO
440,Papa canchan,2.6,Tuberculos,KILOGRAMO
441,Uva italia,7.4,Frutas,KILOGRAMO
442,Fideos nicolini tallarin,6.7,Agro-industriales,KILOGRAMO
443,Carne de porcino (corte unico),18.5,Carnes y huevos,KILOGRAMO
444,Uva alfonso lavalett,5.35,Frutas,KILOGRAMO
445,Camote morado,3.15,Tuberculos,KILOGRAMO
446,Haba verde serrana,3.65,Legumbres,KILOGRAMO
447,Frijol canario,6.2,Menestras,KILOGRAMO
448,Papaya,3.1,Frutas,KILOGRAMO
449,Limon sutil bolsa,2.8,Frutas,KILOGRAMO
450,Olluco largo,3.8,Tuberculos,KILOGRAMO
451,Manzana israel,4.35,Frutas,KILOGRAMO
452,Platano bellaco,3.9,Frutas,LITRO
453,Azucar rubia nacional (granel),4.2,Agro-industriales,KILOGRAMO
454,Arroz extra,4.5,Cereales,KILOGRAMO
455,Leche reconstituida (azul) 395 gr,4.2,Agro-industriales,LATA
456,Aji rocoto,6.65,Hortalizas,KILOGRAMO
457,Vainita americana,5.75,Legumbres,KILOGRAMO
458,Chirimoya cumbe,7.6,Frutas,KILOGRAMO
459,Pina criolla,2.75,Frutas,KILOGRAMO
460,Cebolla cabeza roja,3.35,Hortalizas,KILOGRAMO
461,Carne de pollo (eviscerado),10.1,Carnes y huevos,KILOGRAMO
462,Platano seda congo,4.2,Frutas,KILOGRAMO
463,Yuca blanca,3.75,Tuberculos,KILOGRAMO
464,Pallar,8.15,Menestras,KILOGRAMO
465,Papa amarilla,4.35,Tuberculos,KILOGRAMO
